NFC Sensor Tag Measurement
2018/07/31 15:09:11

t	 Data
0.0	613
 0.01510787499955768	 515
 0.030343249999532418	 593
 0.04556879199935793	 551
 0.06063220799933333	 567
 0.07544216699989192	 573
 0.09067629199944349	 577
 0.10695399999985966	 577
 0.12270520799938822	 577
 0.1378055420000237	 581
 0.1568673329993544	 589
 0.17409554200003186	 593
 0.1907249169998977	 595
 0.2077303749993007	 595
 0.22440912499951082	 595
 0.2416631669993876	 597
 0.2581414579999546	 603
 0.2748287499998696	 609
 0.29175008299989713	 613
 0.3085750000000189	 613
 0.3242619169996033	 613
 0.3403334579998045	 613
 0.356449832999715	 619
 0.3744639999995343	 623
 0.3909045000000333	 627
 0.4081047079998825	 629
 0.4246480000001611	 629
 0.4415607920000184	 629
 0.45744345799994335	 633
 0.47483466699941346	 637
 0.49169016699943313	 641
 0.5089842500001396	 643
 0.5253034999996089	 645
 0.5420948329992825	 643
 0.5585566250001648	 649
 0.5754985839994333	 651
 0.591666708000048	 655
 0.608070874999612	 655
 0.6250719999998182	 655
 0.6414065419994586	 655
 0.6583015420001175	 657
 0.6758477499997753	 661
 0.692865707999772	 665
 0.7097721669997554	 667
 0.7266747499998019	 669
 0.7435833330000605	 675
 0.761291834000076	 763
 0.7779106250000041	 925
 0.7954515419996824	 931
 0.8125973329997578	 855
 0.8299452499995823	 871
 0.8465646670001661	 913
 0.863802584000041	 897
 0.8812407499999608	 865
 0.8987149999993562	 869
 0.9156262919996152	 875
 0.9324865829994451	 879
 0.9495473749993835	 839
 0.9669313750000583	 779
 0.9839247089994387	 731
 1.0009397919993717	 665
 1.017428082999686	 553
 1.034541416999673	 551
 1.051195375000134	 555
 1.0680674169998383	 567
 1.0846897920000629	 573
 1.1017239590000827	 579
 1.1180436249997001	 585
 1.135234333999506	 591
 1.1516274169998724	 597
 1.1683672919998571	 599
 1.1848263749998296	 599
 1.2019287499997517	 599
 1.2182379579999179	 603
 1.235416124999574	 609
 1.251727416999529	 613
 1.268780749999678	 615
 1.2852313339999455	 615
 1.3021207920000961	 615
 1.3183543340001052	 617
 1.3356549589998394	 625
 1.3519602919996032	 629
 1.368774042000041	 631
 1.3858966249999867	 629
 1.4026797500000612	 631
 1.4191469589995904	 635
 1.4361458339999444	 639
 1.4522700839997924	 645
 1.4692920839997896	 645
 1.485737541999697	 647
 1.5025070000001506	 645
 1.518841084000087	 649
 1.536067708999326	 653
 1.5524527919997126	 657
 1.569472749999477	 659
 1.5857463339998503	 655
 1.602586916999826	 659
 1.6192902919992775	 659
