NFC Sensor Tag Measurement
2018/07/31 15:10:00

t	 Data
0.0	947
 0.015241375000186963	 899
 0.03078508300040994	 851
 0.04627175000041461	 863
 0.06280654200054414	 905
 0.0784174170003098	 899
 0.09720487400045386	 857
 0.11281095899994398	 861
 0.12871274999997695	 863
 0.14428591700016113	 871
 0.16005512500032637	 839
 0.17583916600051452	 797
 0.191174833000332	 749
 0.2065885829997569	 699
 0.2218899159997818	 617
 0.23924450000049546	 517
 0.2566134159997091	 575
 0.2740792499998861	 555
 0.2898386670003674	 571
 0.30594699999983277	 571
 0.32261000000016793	 571
 0.3399365420000322	 577
 0.3567958749999889	 583
 0.37411320800038084	 589
 0.3909395000000586	 595
 0.4078841669997928	 595
 0.42371449999973265	 595
 0.43976295799984655	 595
 0.4566509579999547	 603
 0.4739328750001732	 607
 0.4906204999997499	 609
 0.5074648340005297	 611
 0.5237696249996588	 611
 0.5397737499997675	 611
 0.5564382080001451	 617
 0.5730446249999659	 621
 0.5903107080002883	 625
 0.6072452079997674	 625
 0.6241908749998402	 629
 0.640031832999739	 629
 0.6567237910003314	 631
 0.6730370420000327	 639
 0.689880957999776	 641
 0.7056325000003199	 641
 0.7241684580003493	 641
 0.7408708330003719	 645
 0.7578395000000455	 645
 0.7744882080005482	 651
 0.7919038749996616	 655
 0.8089546669998526	 657
 0.8260717499997554	 657
 0.8425375839997287	 659
 0.8598545830000148	 659
 0.8767177910003738	 661
 0.8939516250002271	 665
 0.910471791999953	 669
 0.9275811249999606	 669
 0.9446736669997335	 669
 0.9615189579999424	 677
 0.9785846670001774	 743
 0.995834332999948	 903
 1.0131940840001334	 939
 1.031302332999985	 865
 1.0504900420000922	 873
 1.0686461670002245	 909
 1.0859355410002536	 899
 1.1033037919996787	 871
 1.1224817920001442	 867
 1.142875250000543	 871
 1.1603261669997664	 859
 1.1775388340001882	 817
 1.1952849170002082	 757
 1.2124983339999744	 717
 1.2295480419998057	 621
 1.2464808330005326	 513
 1.2634539170003336	 595
 1.2802920419999282	 567
 1.29724616600015	 579
 1.3145226249998814	 583
 1.3314798749997863	 587
 1.3485053750000588	 589
 1.3655952919998526	 591
 1.3826635000004899	 593
 1.399967999999717	 597
 1.416910666000149	 601
 1.4339462919997459	 605
 1.4510504999998375	 609
 1.4682865840004524	 609
 1.4852921669998977	 611
 1.5022658750003757	 613
 1.519323749999785	 613
 1.536001208000016	 619
 1.5530658750003568	 625
 1.5699907079997502	 627
 1.5863791669999046	 629
 1.6034710000003543	 629
 1.620733917000507	 633
 1.6393825000004654	 635
 1.6575196670000878	 639
 1.6754565000001094	 647
 1.6943012500005352	 649
 1.7110643329997401	 651
 1.7277776669998275	 651
 1.7449296670001786	 651
 1.7614757920000557	 653
 1.7779433750001772	 657
 1.794682499999908	 661
 1.8109956250000323	 663
 1.8275730840005053	 663
 1.844080834000124	 663
 1.8609187080000993	 663
 1.8776963749996867	 667
 1.894358084000487	 669
 1.910838374999912	 673
 1.9281284999997297	 673
 1.9447279169999092	 675
 1.9613409169996885	 677
 1.9780694170003699	 701
 1.9955338750005467	 815
 2.012252792000254	 955
 2.029202583999904	 909
 2.045908416999737	 859
 2.063412999999855	 885
 2.0801790000004985	 915
 2.096777542000382	 897
 2.1136804999996457	 869
 2.130903582999963	 881
 2.1475164169996788	 885
 2.1643476250001186	 873
 2.1809662920004484	 833
 2.198528584000087	 779
 2.215961249999964	 727
 2.2327436249997845	 651
 2.249740959000519	 541
 2.2667784579998624	 577
 2.284144125000239	 557
 2.30133804199977	 573
 2.318578041999899	 579
 2.3362007080004332	 585
 2.3532835420000993	 587
 2.3696872919999805	 591
 2.386079542000516	 591
 2.4032607919998554	 593
 2.4202274170002056	 597
 2.4362087919998885	 601
 2.452397459000167	 607
 2.469794042000103	 609
 2.486796250000225	 613
 2.503447916999903	 613
 2.519795416999841	 615
 2.5366295829999217	 621
 2.553762000000461	 625
 2.5699899170003846	 627
 2.586285250000401	 625
 2.603251999999884	 629
 2.6202170420001494	 633
 2.6364893330000996	 637
 2.6529717089997575	 641
 2.6700379169997177	 643
 2.6865587499996764	 643
 2.703042500000265	 643
 2.7196128750001662	 647
 2.736552583000048	 651
 2.75365574999978	 655
 2.770636792000005	 657
 2.7868740829999297	 657
 2.8040238339999632	 657
 2.8213199580004584	 659
 2.8375288340002953	 661
 2.8537042919997475	 665
 2.870723834000273	 669
 2.887098875000447	 667
 2.90370137500031	 665
 2.92018837500018	 667
 2.9368509579999227	 671
 2.9532386250002673	 675
 2.9697719590003544	 679
 2.985946667000462	 709
 3.0034222089998366	 839
 3.020047959000294	 953
 3.0366230839999844	 899
 3.0536127089999354	 861
 3.070765292000033	 895
 3.0872614580002846	 913
 3.104096916999879	 891
 3.1208132500005377	 867
 3.1380425010002	 869
 3.1554311250001774	 879
 3.172957251000298	 869
 3.192866917000174	 827
 3.209928250000303	 767
 3.228169500999684	 717
 3.244855417000508	 611
 3.2614144999997734	 507
 3.27806400100053	 597
 3.2947753750004267	 571
 3.3110814170004232	 581
 3.3276072509997903	 577
 3.3442050840003503	 581
 3.3611204999997426	 585
 3.377822209000442	 589
 3.394464959000288	 597
 3.4110110419997	 601
 3.4279156669999793	 603
 3.444396500000039	 601
 3.461179834000177	 605
 3.477652042000045	 609
 3.4943877920004525	 613
 3.510940291999759	 615
 3.527444250999906	 617
 3.544228708999981	 617
 3.5610917499998322	 619
 3.5777656259997457	 623
 3.594563208999716	 629
 3.611349834000066	 631
 3.627957959000014	 631
 3.6446258340001805	 631
 3.6612752090004506	 633
 3.6778678339996986	 639
 3.694696333999673	 643
 3.7113118750003196	 645
 3.727768583999932	 647
 3.7444605000000593	 647
 3.76089308399969	 649
 3.778714791999846	 651
 3.7951342920005118	 655
 3.811404500000208	 657
 3.8280829590003123	 657
 3.8453265839998494	 655
 3.8617386670002816	 657
 3.8782005419998313	 661
 3.895394459000272	 665
 3.91265925100015	 667
 3.929255916999864	 667
 3.9456834590000653	 667
 3.962939584000196	 669
 3.9801539589998356	 681
 3.9967895420004425	 739
 4.013634042000376	 895
 4.031060625000464	 947
 4.048469584000486	 871
 4.065187209000214	 857
 4.081844917000126	 893
 4.099261125999874	 913
 4.116561959000137	 881
 4.133374959000321	 867
 4.150082584000302	 881
 4.167482167000344	 875
